,geo_id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
13,94109,3125.75,3135.4166666666665,3375.5,3747.0833333333335,4123.25,4520.25,4492.916666666667,4231.416666666667,4245.916666666667,4421.083333333333,4406.0
20,90250,2363.5,2317.6666666666665,2276.25,2309.4166666666665,2390.5833333333335,2550.5833333333335,2620.6666666666665,2665.3333333333335,2669.5833333333335,2606.6666666666665,2585.0
37,94565,1787.5,1679.0,1676.5833333333333,1716.5,1778.5,1924.6666666666667,2076.25,2122.4166666666665,2177.0,2270.6666666666665,2283.0
41,90046,2678.75,2714.25,2751.4166666666665,2799.8333333333335,2906.5833333333335,3179.4166666666665,3237.3333333333335,3236.3333333333335,3185.5,3182.3333333333335,3212.0
84,94501,2398.6666666666665,2283.5833333333335,2255.5,2352.8333333333335,2677.3333333333335,3191.2727272727275,3305.8333333333335,3238.1666666666665,3198.8333333333335,3251.0833333333335,3282.0
90,94110,3316.75,3164.5833333333335,3353.75,3737.4166666666665,4066.1666666666665,4630.0,4657.75,4417.166666666667,4339.416666666667,4401.833333333333,4391.0
95,90034,2660.5,2561.8333333333335,2527.8333333333335,2565.0833333333335,2729.25,3018.75,3182.5,3130.4166666666665,3069.9166666666665,3132.25,3178.0
99,95630,1296.6666666666667,1352.4166666666667,1397.5,1405.5,1472.25,1569.9166666666667,1671.25,1774.0,1827.9166666666667,1849.25,1887.0
108,90805,1824.5,1775.5,1727.5833333333333,1826.1666666666667,1832.8333333333333,1985.5833333333333,2080.9166666666665,2164.9166666666665,2204.9166666666665,2218.5833333333335,2245.0
110,90650,2012.5,1976.75,1964.0,2025.4166666666667,2046.0,2151.5,2232.8333333333335,2298.25,2325.0,2334.4166666666665,2380.0
111,90044,1728.25,1722.9166666666667,1669.0833333333333,1732.5,1799.5833333333333,1978.4166666666667,2085.0,2195.1666666666665,2282.25,2310.3333333333335,2283.0
113,92683,2238.75,2186.75,2194.0833333333335,2241.5,2270.1666666666665,2384.8333333333335,2463.0833333333335,2515.6666666666665,2560.5833333333335,2618.8333333333335,2616.0
123,91709,1875.75,1835.4166666666667,1822.0,1845.5,1903.1666666666667,2029.3333333333333,2160.9166666666665,2254.3333333333335,2331.0,2361.4166666666665,2394.0
130,94558,2022.5,2050.1428571428573,2290.1,2232.5,2349.6666666666665,2752.6666666666665,2845.75,2777.6666666666665,2894.1666666666665,2934.75,2952.0
