iter	Passed	Remaining
0	5	5300
1	7	3823
2	9	3259
3	11	2936
4	14	2825
5	16	2715
6	18	2625
7	20	2555
8	22	2524
9	24	2464
10	26	2421
11	29	2388
12	30	2350
13	32	2312
14	34	2287
15	36	2257
16	38	2235
17	40	2208
18	42	2178
19	43	2152
20	45	2132
21	47	2111
22	49	2087
23	50	2059
24	52	2041
25	54	2025
26	55	2007
27	57	1981
28	58	1965
29	61	1974
30	62	1950
31	63	1931
32	65	1917
33	67	1908
34	68	1901
35	70	1894
36	72	1886
37	74	1877
38	75	1865
39	77	1858
40	79	1849
41	80	1841
42	82	1829
43	84	1831
44	86	1827
45	88	1831
46	89	1822
47	91	1814
48	93	1807
49	94	1803
50	96	1799
51	98	1793
52	100	1789
53	102	1788
54	103	1781
55	105	1773
56	106	1766
57	108	1758
58	109	1749
59	111	1740
60	112	1735
61	114	1732
62	116	1727
63	117	1722
64	119	1718
65	121	1715
66	123	1713
67	125	1715
68	126	1706
69	128	1700
70	129	1695
71	131	1690
72	132	1685
73	134	1683
74	136	1689
75	138	1686
76	140	1684
77	142	1679
78	143	1675
79	145	1667
80	146	1665
81	148	1661
82	149	1656
83	151	1652
84	153	1648
85	154	1644
86	156	1641
87	157	1637
88	159	1633
89	160	1627
90	162	1624
91	164	1620
92	165	1617
93	167	1616
94	169	1612
95	170	1609
96	172	1605
97	174	1603
98	175	1600
99	177	1595
100	178	1591
101	180	1589
102	182	1586
103	183	1582
104	185	1579
105	186	1575
106	188	1571
107	189	1567
108	191	1564
109	192	1560
110	194	1557
111	196	1555
112	197	1552
113	199	1550
114	200	1546
115	202	1544
116	204	1541
117	205	1538
118	207	1535
119	208	1531
120	210	1529
121	212	1527
122	213	1524
123	215	1521
124	217	1520
125	219	1520
126	220	1516
127	222	1513
128	223	1510
129	225	1507
130	226	1504
131	228	1503
132	230	1499
133	231	1495
134	233	1494
135	234	1491
136	236	1487
137	237	1484
138	239	1481
139	240	1480
140	242	1477
141	244	1474
142	245	1472
143	247	1474
144	249	1471
145	251	1468
146	252	1467
147	254	1465
148	256	1464
149	257	1461
150	259	1458
151	260	1455
152	262	1453
153	264	1451
154	265	1449
155	267	1447
156	269	1444
157	270	1442
158	272	1439
159	273	1437
160	275	1435
161	276	1432
162	278	1430
163	279	1426
164	281	1424
165	283	1422
166	284	1420
167	286	1418
168	288	1416
169	289	1414
170	291	1413
171	293	1411
172	295	1411
173	296	1409
174	299	1410
175	300	1407
176	302	1404
177	303	1402
178	305	1400
179	306	1398
180	308	1396
181	310	1393
182	311	1391
183	313	1388
184	314	1387
185	316	1385
186	318	1383
187	319	1380
188	321	1378
189	323	1377
190	324	1375
191	326	1373
192	327	1370
193	329	1369
194	331	1367
195	332	1364
196	334	1362
197	335	1360
198	337	1358
199	339	1356
200	340	1353
201	342	1351
202	343	1349
203	345	1347
204	346	1345
205	348	1342
206	350	1340
207	351	1338
208	353	1336
209	354	1334
210	356	1332
211	357	1330
212	359	1328
213	361	1327
214	363	1325
215	364	1322
216	366	1321
217	367	1319
218	369	1318
219	371	1316
220	372	1314
221	374	1312
222	376	1310
223	377	1308
224	379	1306
225	380	1304
226	382	1301
227	384	1300
228	385	1298
229	387	1296
230	388	1294
231	390	1292
232	391	1290
233	393	1287
234	395	1286
235	396	1284
236	398	1282
237	399	1280
238	401	1278
239	402	1275
240	404	1274
241	406	1272
242	407	1270
243	409	1268
244	411	1267
245	412	1265
246	414	1263
247	416	1261
248	417	1259
249	419	1257
250	420	1255
251	422	1253
252	423	1251
253	425	1249
254	427	1247
255	428	1245
256	430	1243
257	431	1241
258	433	1239
259	434	1238
260	436	1236
261	438	1234
262	439	1232
263	441	1231
264	443	1229
265	444	1227
266	446	1225
267	447	1223
268	449	1221
269	450	1219
270	452	1216
271	453	1214
272	455	1212
273	456	1210
274	458	1208
275	460	1206
276	461	1205
277	463	1203
278	465	1201
279	466	1200
280	468	1199
281	470	1197
282	471	1195
283	473	1194
284	475	1192
285	476	1190
286	478	1189
287	480	1187
288	482	1186
289	483	1184
290	485	1182
291	486	1180
292	488	1178
293	490	1177
294	491	1175
295	493	1173
296	494	1171
297	497	1171
298	498	1169
299	500	1168
300	502	1166
301	504	1165
302	505	1163
303	507	1161
304	508	1159
305	510	1157
306	512	1156
307	513	1154
308	515	1152
309	517	1150
310	518	1149
311	520	1148
312	522	1146
313	524	1145
314	525	1143
315	527	1141
316	528	1139
317	530	1138
318	532	1136
319	533	1133
320	535	1132
321	536	1130
322	538	1128
323	540	1126
324	541	1124
325	543	1123
326	544	1121
327	546	1119
328	547	1117
329	549	1115
